theta,empirical_real,empirical_imag,se_real,se_imag,theoretical_real,theoretical_imag
-2.000000000000000111e-01,1.323372630766093613e-02,-5.531435972380625149e-02,5.242171504316056260e-03,4.950354070786318339e-03,7.132941654042906920e-03,-4.889612535844709007e-02
-1.975000000000000089e-01,1.330804764457151415e-02,-5.446551728558837735e-02,5.242375856598586840e-03,4.946431312378521752e-03,7.169296142356340606e-03,-4.805365168447234270e-02
-1.950000000000000067e-01,1.337796004765494373e-02,-5.362067926236081111e-02,5.242533711518574703e-03,4.942565182793464719e-03,7.201566398851180772e-03,-4.721527858601295979e-02
-1.925000000000000044e-01,1.344348069333894252e-02,-5.277993321490773854e-02,5.242645055095754118e-03,4.938756826605644051e-03,7.229771241139104632e-03,-4.638109424064995601e-02
-1.900000000000000022e-01,1.350462785689166521e-02,-5.194336581367311328e-02,5.242709902892005863e-03,4.935007360955265612e-03,7.253930556396004370e-03,-4.555118591704890307e-02
-1.875000000000000000e-01,1.356142090165897776e-02,-5.111106282274466978e-02,5.242728300385374011e-03,4.931317874509744299e-03,7.274065287248263068e-03,-4.472563996006198583e-02
-1.849999999999999978e-01,1.361388026802417238e-02,-5.028310908402183060e-02,5.242700323373690116e-03,4.927689426395157751e-03,7.290197417515062450e-03,-4.390454177616787135e-02
-1.824999999999999956e-01,1.366202746208783868e-02,-4.945958850157191472e-02,5.242626078403509610e-03,4.924123045102874428e-03,7.302349957802725666e-03,-4.308797581924872500e-02
-1.800000000000000211e-01,1.370588504406575030e-02,-4.864058402618013505e-02,5.242505703219847539e-03,4.920619727376841258e-03,7.310546930966235757e-03,-4.227602557669798977e-02
-1.775000000000000189e-01,1.374547661640273567e-02,-4.782617764009842315e-02,5.242339367231939676e-03,4.917180437087304880e-03,7.314813357434626906e-03,-4.146877355585917857e-02
-1.750000000000000167e-01,1.378082681160073056e-02,-4.701645034199882639e-02,5.242127271990153561e-03,4.913806104096953876e-03,7.315175240407770230e-03,-4.066630127079215451e-02
-1.725000000000000144e-01,1.381196127975945279e-02,-4.621148213213734784e-02,5.241869651668958942e-03,4.910497623125663694e-03,7.311659550928176210e-03,-3.986868922936229187e-02
