theta,empirical_real,empirical_imag,se_real,se_imag,theoretical_real,theoretical_imag
-2.000000000000000111e-01,2.324265116211055807e-03,2.351952403267875726e-03,5.601020030301568503e-03,5.494605102116563965e-03,0.000000000000000000e+00,0.000000000000000000e+00
-1.975000000000000089e-01,2.266067671434186977e-03,2.307933169980489179e-03,5.600279144504291887e-03,5.495058202375994148e-03,-1.387778780781445676e-17,0.000000000000000000e+00
-1.950000000000000067e-01,2.207533170003452526e-03,2.264074698324296427e-03,5.599528851892524722e-03,5.495522028394531598e-03,2.775557561562891351e-17,0.000000000000000000e+00
-1.925000000000000044e-01,2.148672140766450921e-03,2.220380491938703845e-03,5.598769456023542680e-03,5.495996297206567037e-03,-2.775557561562891351e-17,0.000000000000000000e+00
-1.900000000000000022e-01,2.089495160663605057e-03,2.176853996929597329e-03,5.598001266486621851e-03,5.496480719953788195e-03,2.775557561562891351e-17,0.000000000000000000e+00
-1.875000000000000000e-01,2.030012851628873634e-03,2.133498600522960951e-03,5.597224598599010240e-03,5.496975002207868735e-03,1.387778780781445676e-17,0.000000000000000000e+00
-1.849999999999999978e-01,1.970235877493194728e-03,2.090317629749150353e-03,5.596439773094844146e-03,5.497478844299744788e-03,4.163336342344337027e-17,0.000000000000000000e+00
-1.824999999999999956e-01,1.910174940892347484e-03,2.047314350158526905e-03,5.595647115807499475e-03,5.497991941654951746e-03,4.163336342344337027e-17,0.000000000000000000e+00
-1.800000000000000211e-01,1.849840780180884688e-03,2.004491964568954829e-03,5.594846957345835092e-03,5.498513985134494825e-03,1.387778780781445676e-17,0.000000000000000000e+00
-1.775000000000000189e-01,1.789244166353701378e-03,1.961853611845800534e-03,5.594039632764807000e-03,5.499044661380705218e-03,-5.551115123125782702e-17,0.000000000000000000e+00
-1.750000000000000167e-01,1.728395899977006522e-03,1.919402365714891921e-03,5.593225481230959875e-03,5.499583653167553626e-03,1.387778780781445676e-17,0.000000000000000000e+00
-1.725000000000000144e-01,1.667306808130118289e-03,1.877141233609056718e-03,5.592404845683299035e-03,5.500130639754825281e-03,-1.387778780781445676e-17,0.000000000000000000e+00
-1.700000000000000122e-01,1.605987741359849071e-03,1.835073155548721689e-03,5.591578072490024226e-03,5.500685297245637775e-03,2.775557561562891351e-17,0.000000000000000000e+00
