theta,empirical_real,empirical_imag,se_real,se_imag,theoretical_real,theoretical_imag
-2.000000000000000111e-01,5.052111813475916591e-02,9.877100320662337164e-04,5.082147135953386102e-03,5.124608300271579417e-03,4.656307732075282146e-02,0.000000000000000000e+00
-1.975000000000000089e-01,4.977577553830830892e-02,1.059954052009920997e-03,5.078142462972950674e-03,5.122921380651661999e-03,4.584241001383568270e-02,0.000000000000000000e+00
-1.950000000000000067e-01,4.903093268322701592e-02,1.131837433013451822e-03,5.074213633838546914e-03,5.121187136865082770e-03,4.512296699233997455e-02,0.000000000000000000e+00
-1.925000000000000044e-01,4.828669972478163985e-02,1.203350430543502925e-03,5.070360232210460380e-03,5.119406954275968098e-03,4.440485233550098276e-02,0.000000000000000000e+00
-1.900000000000000022e-01,4.754318627858058338e-02,1.274483395648416239e-03,5.066581799863167576e-03,5.117582260560428128e-03,4.368816953927345814e-02,0.000000000000000000e+00
-1.875000000000000000e-01,4.680050139621715760e-02,1.345226774862891229e-03,5.062877838683498000e-03,5.115714523601402192e-03,4.297302149541484817e-02,0.000000000000000000e+00
-1.849999999999999978e-01,4.605875354151693635e-02,1.415571110332627600e-03,5.059247812676036932e-03,5.113805249384891990e-03,4.225951047087631030e-02,0.000000000000000000e+00
-1.824999999999999956e-01,4.531805056739354048e-02,1.485507040161143568e-03,5.055691149971611696e-03,5.111855979900404093e-03,4.154773808749870345e-02,0.000000000000000000e+00
-1.800000000000000211e-01,4.457849969331634937e-02,1.555025298980249222e-03,5.052207244834786525e-03,5.109868291048289685e-03,4.083780530201713832e-02,0.000000000000000000e+00
-1.775000000000000189e-01,4.384020748339209628e-02,1.624116718745204730e-03,5.048795459666376162e-03,5.107843790556653926e-03,4.012981238637516879e-02,0.000000000000000000e+00
-1.750000000000000167e-01,4.310327982506240857e-02,1.692772229754765500e-03,5.045455126997132334e-03,5.105784115910358932e-03,3.942385890835059525e-02,0.000000000000000000e+00
-1.725000000000000144e-01,4.236782190841775764e-02,1.760982861895694701e-03,5.042185551468828311e-03,5.103690932294613174e-03,3.872004371249310184e-02,0.000000000000000000e+00
